date,January,February,March,April,May,June,July,August,September,October,November,December
2004-03-26,,,,,,,,,,,,
2004-03-29,,,,,,,,,,,,
2004-03-30,,,,,,,,,,,,
2004-03-31,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,
2004-04-02,,,,,,,,,,,,
2004-04-05,,,,,,,,,,,,
2004-04-06,,,,,,,,,,,,
2004-04-07,,,,,,,,,,,,
2004-04-08,,,,,,,,,,,,
2004-04-12,,,,,,,,,,,,
2004-04-13,,,,,,,,,,,,
2004-04-14,,,,,,,,,,,,
2004-04-15,,,,,,,,,,,,
2004-04-16,,,,,,,,,,,,
2004-04-19,,,,,,,,,,,,
2004-04-20,,,,,,,,,,,,
2004-04-21,,,,,,,,,,,,
2004-04-22,,,,,,,,,,,,
2004-04-23,,,,,,,,,,,,
2004-04-26,,,,,,,,,,,,
2004-04-27,,,,,,,,,,,,
2004-04-28,,,,,,,,,,,,
2004-04-29,,,,,,,,,,,,
2004-04-30,,,,,,,,,,,,
2004-05-03,,,,,,,,,,,,
2004-05-04,,,,,,,,,,,,
2004-05-05,,,,,,,,,,,,
2004-05-06,,,,,,,,,,,,
2004-05-07,,,,,,,,,,,,
2004-05-10,,,,,,,,,,,,
2004-05-11,,,,,,,,,,,,
2004-05-12,,,,,,,,,,,,
2004-05-13,,,,,,,,,,,,
2004-05-14,,,,,,,,,,,,
2004-05-17,,,,,,,,,,,,
2004-05-18,,,,,,,,,,,,
2004-05-19,,,,,,,,,,,,
2004-05-20,,,,,,,,,,,,
2004-05-21,,,,,,,,,,,,
2004-05-24,,,,,,,-1.1299972534179688,,,,,
2004-05-25,,,,,,,-0.6100025177001953,,,,,
2004-05-26,,,,,,,-1.1899986267089844,,,,,
2004-05-27,,,,,,,-1.0200004577636719,,,,,
2004-05-28,,,,,,,-1.2299976348876953,,,,,
2004-06-01,,,,,,,-0.9200000762939453,,,,,
2004-06-02,,,,,,,-0.8900012969970703,,,,,
2004-06-03,,,,,,,-0.8600006103515625,,,,,
2004-06-04,,,,,,,-0.5100002288818359,,,,,
2004-06-07,,,,,,,-0.17999839782714844,,,,,
2004-06-08,,,,,,,0.14999961853027344,,,,,
2004-06-09,,,,,,,0.6100006103515625,,,,,
2004-06-10,,,,,,,-0.39999866485595703,,,,,
2004-06-14,,,,,,,-0.39999866485595703,,,,,
2004-06-15,,,,,,,-0.2500019073486328,,,,,
2004-06-16,,,,,,,,,,,,
2004-06-17,,,,,,,,,,,,
2004-06-18,,,,,,,,,,,,
2004-06-21,,,,,,,,,,,,
2004-06-22,,,,,,,,,,,,
2004-06-23,,,,,,,,,,,,
2004-06-24,,,,,,,,,,,,
2004-06-25,,,,,,,,,,,,
2004-06-28,,,,,,,,,,,,
2004-06-29,,,,,,,,,,,,
2004-06-30,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,
2004-07-02,,,,,,,,,,,,
2004-07-06,,,,,,,,,,,,
2004-07-07,,,,,,,,,,,,
2004-07-08,,,,,,,,,,,,
2004-07-09,,,,,,,,,,,,
2004-07-12,,,,,,,,,,,,
2004-07-13,,,,,,,,,,,,
2004-07-14,,,,,,,,,,,,
2004-07-15,,,,,,,,,,,,
2004-07-16,,,,,,,,,,,,
2004-07-19,,,,,,,,,,,,
2004-07-20,,,,,,,,,,,,
2004-07-21,,,,,,,,,,,,
2004-07-22,,,,,,,,,,,,
2004-07-23,,,,,,,,,,,,
2004-07-26,,,,,,,,,,,,
2004-07-27,,,,,,,,,,,,
2004-07-28,,,,,,,,,,,,
2004-07-29,,,,,,,,,,,,
2004-07-30,,,,,,,,,,,,
2004-08-02,,,,,,,,,,,,
2004-08-03,,,,,,,,,,,,
2004-08-04,,,,,,,,,,,,
2004-08-05,,,,,,,,,,,,
2004-08-06,,,,,,,,,,,,
2004-08-09,,,,,,,,,,,,
2004-08-10,,,,,,,,,,,,
2004-08-11,,,,,,,,,,,,
2004-08-12,,,,,,,,,,,,
2004-08-13,,,,,,,,,,,,
2004-08-16,,,,,,,,,,,,
2004-08-17,,,,,,,,,,,,
2004-08-18,,,,,,,,,,,,
2004-08-19,,,,,,,,,,,,
2004-08-20,,,,,,,,,,,,
